status,current,target,score,secondScore,sourceTitle,reason
skip,UKSG_-_Jamie_Silver_vs_Agent_X.wmv,,0.360,0.334,,no high-confidence title match
skip,UKSG_-_Naomi_Walker_vs_RRS.wmv,,0.294,0.279,,no high-confidence title match
skip,UKSG_-_RRS_Vengeance.wmv,,0.484,0.428,,no high-confidence title match
skip,UKSG_-_Secret_Agent_Jamie_Silver_vs_Miss_Misery_Version_1.wmv,,0.350,0.294,,no high-confidence title match
skip,UKSG_-_Secret_Agent_Jean_Blade_vs_Agent_X.wmv,,0.309,0.297,,no high-confidence title match
skip,UKSG_-_Secret_Agent_Jean_Blade_vs_Agent_X_Version_2.wmv,,0.338,0.305,,no high-confidence title match
skip,UKSG_-_Secret_Agent_Rachel_Silver_vs_Agent_X.wmv,,0.331,0.321,,no high-confidence title match
skip,UKSG_-_Teen_Bat.wmv,,0.421,0.421,,no high-confidence title match
skip,UKSG_-_The_Dream.wmv,,0.379,0.376,,no high-confidence title match
skip,UKSG_Agent_Joceline_Angel_vs_the_russian_assassin.mpg,,0.292,0.292,,no high-confidence title match
skip,UKSG_Death_of_Agent_Blond.mpeg,,0.360,0.342,,no high-confidence title match
skip,UKSG_Jane_Blade_is_Finally_Defeated.mpg,,0.314,0.303,,no high-confidence title match
skip,UKSG_The_Strangling_Adventures_of_Agent_Charlotte_Steele.mpg,,0.312,0.312,,no high-confidence title match
skip,UKSG_The_Strangling_Adventures_of_Agent_Charlotte_Steele.mpg.mp4,,0.294,0.294,,no high-confidence title match
skip,Ultrawoman 1 The_Secret_Life_and_Death_of_Agent_Steel.wmv,,0.523,0.519,,no high-confidence title match
skip,Ultrawoman 10.mp4,,0.800,0.667,,no high-confidence title match
rename,Ultrawoman 11 The 0rigin Peril.mp4,Ultrawoman 11 - The Origin (Peril).mp4,0.967,0.752,SS#93 – Ultrawoman 11: The Origin (Peril),
rename,Ultrawoman 11 The Origin.avi,Ultrawoman 11 - The Origin.avi,1.000,0.889,VV#85 – Ultrawoman 11: The Origin,
skip,Ultrawoman 12 power thief.mov,,0.800,0.750,,no high-confidence title match
skip,UltraWoman 13 Hellraiser.mp4,,0.750,0.708,,no high-confidence title match
rename,Ultrawoman 14 Amzon duel.mp4,Ultrawoman 14 - Amazon Duel.mp4,0.980,0.873,VV#100 – Ultrawoman 14: Amazon Duel,
rename,Ultrawoman 15 DebtCollector.mp4,Ultrawoman 15 - Debt Collector.mp4,0.982,0.885,VV#136 – Ultrawoman 15: Debt Collector,
skip,Ultrawoman 16.mp4,,0.649,0.649,,no high-confidence title match
skip,Ultrawoman 2 the seekerAAAAAAAAAAAAA.mp4,,0.800,0.723,,no high-confidence title match
skip,Ultrawoman 3 -  Return to Active Duty SS38 (Lynda).mp4,,0.861,0.847,,ambiguous title match
skip,Ultrawoman 3.mov,,0.629,0.611,,no high-confidence title match
skip,Ultrawoman 4 - Gatecrasher Peril Edition.mp4,,0.764,0.667,,no high-confidence title match
skip,Ultrawoman 4_Gatecrasher.mp4,,0.814,0.750,,no high-confidence title match
skip,Ultrawoman 4gatecrasher.mp4,,0.793,0.697,,no high-confidence title match
skip,Ultrawoman 4gatecrasher2.mp4,,0.780,0.687,,no high-confidence title match
rename,Ultrawoman 5 De-Powered.mp4,Ultrawoman 5 - De-Powered.mp4,1.000,0.889,VV#40 – Ultrawoman 5: De-Powered,
skip,Ultrawoman 5_De-Powered_VV.mp4,Ultrawoman 5 - De-Powered.mp4,0.939,0.873,VV#40 – Ultrawoman 5: De-Powered,source missing or target exists at execution
skip,Ultrawoman 6：catching a break.mp4,,0.833,0.677,,no high-confidence title match
rename,Ultrawoman 7 Return of Wondra Peril version.mp4,Ultrawoman 7 - Return of Wondra (Peril).mp4,0.923,0.733,SS#66 – Ultrawoman 7: Return of Wondra (Peril),
rename,Ultrawoman 8 Undercover Amazon.mp4,Ultrawoman 8 - Undercover Amazon.mp4,1.000,0.909,VV#73 – Ultrawoman 8: Undercover Amazon,
skip,Ultrawoman 9._Vendetta_W.mp4,,0.698,0.696,,no high-confidence title match
skip,WhiteAngel10 VV.mp4,,0.609,0.536,,no high-confidence title match
skip,WhiteAngel11.5AAAAAAA.mp4,,0.636,0.556,,no high-confidence title match
skip,WhiteAngel11.5AAAAAAA_20251121235831.mp4,,0.636,0.556,,no high-confidence title match
skip,WhiteAngel11.mp4,,0.619,0.537,,no high-confidence title match
skip,WhiteAngel12 AAAAAA.wmv,,0.619,0.537,,no high-confidence title match
skip,WhiteAngel14 AAAAAA.mp4,,0.619,0.537,,no high-confidence title match
skip,WhiteAngel14 AAAAAA_202511220219.mp4,,0.619,0.537,,no high-confidence title match
skip,WhiteAngel15.mp4,,0.619,0.537,,no high-confidence title match
skip,WhiteAngel16 (2).mp4,,0.636,0.556,,no high-confidence title match
skip,WhiteAngel16.mp4,,0.619,0.537,,no high-confidence title match
skip,WhiteAngel17.mov,,0.696,0.537,,no high-confidence title match
skip,WhiteAngel18 B.mp4,,0.636,0.556,,no high-confidence title match
skip,WhiteAngel19.mp4,,0.619,0.537,,no high-confidence title match
skip,WhiteAngel1_.mp4,,0.650,0.560,,no high-confidence title match
skip,WhiteAngel2.wmv,,0.650,0.495,,no high-confidence title match
skip,WhiteAngel20AAAAAA.mp4,,0.619,0.537,,no high-confidence title match
skip,WhiteAngel21.mp4,,0.619,0.537,,no high-confidence title match
skip,WhiteAngel23AAAAA.mp4,,0.696,0.537,,no high-confidence title match
skip,WhiteAngel23AAAAA_20251121234334.mp4,,0.696,0.537,,no high-confidence title match
skip,WhiteAngel24.mp4,,0.619,0.537,,no high-confidence title match
skip,Whiteangel24AAAA.mp4,,0.619,0.537,,no high-confidence title match
skip,WhiteAngel25AAAAA.mp4,,0.619,0.475,,no high-confidence title match
skip,WhiteAngel26.mp4,,0.619,0.475,,no high-confidence title match
skip,WhiteAngel27.mp4,,0.696,0.475,,no high-confidence title match
skip,WhiteAngel28.mp4,,0.619,0.475,,no high-confidence title match
skip,WhiteAngel29.mp4,,0.619,0.537,,no high-confidence title match
skip,WhiteAngel2_.mp4,,0.650,0.495,,no high-confidence title match
skip,WhiteAngel3.wmv,,0.730,0.560,,no high-confidence title match
skip,WhiteAngel31.mp4,,0.696,0.537,,no high-confidence title match
skip,WhiteAngel31_.mp4,,0.696,0.537,,no high-confidence title match
skip,WhiteAngel32.mp4,,0.696,0.537,,no high-confidence title match
skip,WhiteAngel33.mp4,,0.696,0.537,,no high-confidence title match
skip,WhiteAngel34.mp4,,0.696,0.537,,no high-confidence title match
skip,WhiteAngel35AAAA.mp4,,0.696,0.537,,no high-confidence title match
skip,WhiteAngel4.wmv,,0.650,0.560,,no high-confidence title match
skip,WhiteAngel5_part_1.wmv,,0.537,0.534,,no high-confidence title match
skip,WhiteAngel5_part_2.wmv,,0.537,0.534,,no high-confidence title match
skip,WhiteAngel5_part_3.wmv,,0.600,0.534,,no high-confidence title match
skip,WhiteAngel6.mp4,,0.650,0.495,,no high-confidence title match
skip,WhiteAngel7 (2).mp4,,0.665,0.517,,no high-confidence title match
skip,WhiteAngel7.mp4,,0.730,0.495,,no high-confidence title match
skip,WhiteAngel8 AAAA.mp4,,0.650,0.495,,no high-confidence title match
skip,WhiteAngel8_goodAAAAAA.wmv,,0.650,0.495,,no high-confidence title match
skip,WhiteAngel9.5.mp4,,0.665,0.577,,no high-confidence title match
skip,WhiteAngel9.mp4,,0.650,0.560,,no high-confidence title match
skip,WhiteAngle22_AAAAAAAA.mp4,,0.692,0.625,,no high-confidence title match
skip,Wonderkick 1(Peril).mp4,,0.654,0.642,,no high-confidence title match
skip,Wonderkick 1AAAAAAAAAAAAA.mp4,,0.550,0.537,,no high-confidence title match
rename,Wonderkick 2 collector item.mp4,Wonderkick 2 - Collector's Item.mp4,0.964,0.871,VV#31 – Wonderkick 2: Collector’s Item,
rename,Wonderkick 2 Collectors Item (peril) .mp4,Wonderkick 2 - Collector's Item (Peril).mp4,0.986,0.789,SS#36 – Wonderkick 2: Collector’s Item (Peril),
rename,Wonderkick 3 Freedom Fighter.mp4,Wonderkick 3 - Freedom Fighter.mp4,1.000,0.903,VV#75 – Wonderkick 3: Freedom Fighter,
skip,Wonderous Girl The Harvest.mp4,,0.542,0.520,,no high-confidence title match
skip,wondra+12+ver+1.mp4,,0.625,0.615,,no high-confidence title match
skip,Wondra1 Fall Of A HeroineAAAAAA.mp4,,0.658,0.586,,no high-confidence title match
rename,Wondra10BerserkerRage.mp4,Wondra 10 - Berserker Rage.mp4,0.933,0.824,VV#148 – Wondra 10: Berserker Rage,
skip,Wondra12-Version3-VV.mp4,,0.634,0.548,,no high-confidence title match
skip,Wondra2 Resurrection (peril).mp4,,0.751,0.612,,no high-confidence title match
rename,Wondra3 - Mastered Peril.mp4,Wondra 3 - Mastered (Peril).mp4,0.978,0.721,SS#11 – Wondra 3: Mastered (Peril),
skip,Wondra4-turn_to_the_dark_side.wmv,,0.781,0.566,,no high-confidence title match
rename,Wondra4_-_Turning_to_Dark_Side.mp4,Wondra 4 - Turning to Dark Side (Peril).mp4,0.889,0.577,SS#18 – Wondra 4: Turning to Dark Side (Peril),
skip,Wondra4_Turning_to_dark_side.mp4,Wondra 4 - Turning to Dark Side (Peril).mp4,0.889,0.577,SS#18 – Wondra 4: Turning to Dark Side (Peril),source missing or target exists at execution
skip,Wondra5 payback.mp4,,0.606,0.500,,no high-confidence title match
skip,Wondra5.mov,,0.600,0.600,,no high-confidence title match
skip,Wondra6-Entrapment_good.mp4,,0.643,0.571,,no high-confidence title match
rename,Wondra7_Losing_Face_Peril.mp4,Wondra 7 - Losing Face (Peril).mp4,0.980,0.633,SS#122- Wondra 7: Losing Face (Peril),
rename,Wondra8 Psych out.mp4,Wondra 8 - Psych Out.mp4,0.971,0.545,SS#145 – Wondra 8: Psych Out,
skip,Wondra9Extreme.mp4,,0.581,0.541,,no high-confidence title match
