status,current,target,score,secondScore,sourceTitle,reason
skip,DarkBat.mp4,Dark Bat.mp4,0.933,0.667,VV#113 – Dark Bat,source missing or target exists at execution
skip,Darkwing 1 Flying Solo Extreme.mp4,,0.725,0.633,,no high-confidence title match
skip,Darkwing 1 solo.mp4,,0.686,0.650,,no high-confidence title match
rename,Darkwing 10_Under_Fire_VV.mp4,Darkwing 10 - Under Fire.mp4,0.936,0.868,VV#39 – Darkwing 10: Under Fire,
skip,Darkwing 11 - Dark on Dark Extreme.mp4,,0.889,0.871,,ambiguous title match
rename,Darkwing 11 Dark on Dark (Peril).mp4,Darkwing 11 - Dark on Dark (Peril).mp4,1.000,0.789,SS#52 – Darkwing 11: Dark on Dark (Peril),
rename,Darkwing 12 allies and enemies - peril version.mp4,Darkwing 12 - Allies and Enemies (Peril).mp4,0.923,0.733,SS#54 – Darkwing 12: Allies and Enemies (Peril),
rename,Darkwing 13 Climax Of Evil AAAAA.mp4,Darkwing 13 - Climax of Evil (Peril)AAA.mp4,0.909,0.643,SS#57 – Darkwing 13: Climax of Evil (Peril),
rename,Darkwing 14 Ambushed.mp4,Darkwing 14 - Ambushed.mp4,1.000,0.870,VV#64 – Darkwing 14: Ambushed,
skip,Darkwing 14 Ambushed2.mp4,Darkwing 14 - Ambushed.mp4,0.976,0.851,VV#64 – Darkwing 14: Ambushed,source missing or target exists at execution
rename,Darkwing 15  on the trail of supernovaX.mp4,Darkwing 15 - On The Trail Of Supernova X.mp4,0.987,0.488,VV#65-SS#72 – Darkwing 15: On The Trail Of Supernova X,
skip,Darkwing 15 on the trail of supernova x.mp4,Darkwing 15 - On The Trail Of Supernova X.mp4,1.000,0.479,VV#65-SS#72 – Darkwing 15: On The Trail Of Supernova X,source missing or target exists at execution
rename,Darkwing 16 - Mind Games BAAAAAAAAAAAAAA.mp4,Darkwing 16 - Mind GamesAAA.mp4,0.957,0.885,VV#71 – Darkwing 16: Mind Games,
skip,Darkwing 16 - Mind Games BAAAAAAAAAAAAAA_20251121231923.mp4,Darkwing 16 - Mind GamesAAA.mp4,0.957,0.885,VV#71 – Darkwing 16: Mind Games,source missing or target exists at execution
rename,Darkwing 17 Shade Of DarknessAAAAA.mp4,Darkwing 17 - Shade of DarknessAAA.mp4,1.000,0.667,VV#81 – Darkwing 17: Shade of Darkness,
rename,Darkwing 18 Dark vs Night.mp4,Darkwing 18 - Dark vs. Night (Peril).mp4,0.909,0.694,SS#101 – Darkwing 18: Dark vs. Night (Peril),
rename,Darkwing 19 Contract Kill_AAAAA.mp4,Darkwing 19 - Contract KillAAA.mp4,1.000,0.893,VV#95 – Darkwing 19: Contract Kill,
skip,Darkwing 19 extra.mp4,,0.722,0.714,,no high-confidence title match
skip,Darkwing 1__Flying_Solo.wmv,,0.682,0.667,,no high-confidence title match
skip,Darkwing 2 Darkwing ReturnsAAAAA.mp4,,0.730,0.667,,no high-confidence title match
skip,Darkwing 2 Darkwing ReturnsAAAAAaa.mp4,,0.730,0.667,,no high-confidence title match
skip,Darkwing 2 Darkwing ReturnsAAAAAaa_20251121235232.mp4,,0.730,0.667,,no high-confidence title match
rename,Darkwing 20 Breach of Contract.mp4,Darkwing 20 - Breach of Contract.mp4,1.000,0.655,VV#107 – Darkwing 20: Breach of Contract,
skip,Darkwing 21-VV.mp4,,0.647,0.611,,no high-confidence title match
